# qpc_us game_mode
1016667 3
1033334 3
1050001 3
1066668 3
1083335 3
1100002 3
1116669 3
1133336 3
1150003 3
1166670 3
1183337 3
1200004 3
1216671 3
1233338 3
1250005 3
1266672 3
1283339 3
1300006 3
1316673 3
1333340 3
1350007 3
1366674 3
1383341 3
1400008 3
1416675 3
1433342 3
1450009 3
1466676 3
1483343 3
1500010 3
1516677 3
1533344 3
1550011 3
1566678 3
1583345 3
1600012 3
1616679 3
1633346 3
1650013 3
1666680 3
1683347 3
1700014 3
1716681 3
1733348 3
1750015 3
1766682 3
1783349 3
1800016 3
1816683 3
1833350 3
1850017 3
1866684 3
1883351 3
1900018 3
1916685 3
1933352 3
1950019 3
1966686 3
1983353 3
2000020 3
2016687 3
2033354 3
2050021 3
2066688 3
2083355 3
2100022 3
2116689 3
2133356 3
2150023 3
2166690 3
2183357 3
2200024 3
2216691 3
2233358 3
2250025 3
2266692 3
2283359 3
2300026 3
2316693 3
2333360 3
2350027 3
2366694 3
2383361 3
2400028 3
2416695 3
2433362 3
2450029 3
2466696 3
2483363 3
2500030 3
2516697 3
2533364 3
2550031 3
2566698 3
2583365 3
2600032 3
2616699 3
2633366 3
2650033 3
2666700 3
2683367 3
2700034 3
2716701 3
2733368 3
2750035 3
2766702 3
2783369 3
2800036 3
2816703 3
2833370 3
2850037 3
2866704 3
2883371 3
2900038 3
2916705 3
2933372 3
2950039 3
2966706 3
2983373 3
3000040 3
3016707 3
3033374 3
3050041 3
3066708 3
3083375 3
3100042 3
3116709 3
3133376 3
3150043 3
3166710 3
3183377 3
3200044 3
3216711 3
3233378 3
3250045 3
3266712 3
3283379 3
3300046 3
3316713 3
3333380 3
3350047 3
3366714 3
3383381 3
3400048 3
3416715 3
3433382 3
3450049 3
3466716 3
3483383 3
3683383 3
3700050 3
3716717 3
3733384 3
3750051 3
3766718 3
3783385 3
3800052 3
3816719 3
3833386 3
3850053 3
3866720 3
3883387 3
3900054 3
3916721 3
3933388 3
3950055 3
3966722 3
3983389 3
4000056 3
4016723 3
4033390 3
4050057 3
4066724 3
4083391 3
4100058 3
4116725 3
4133392 3
4150059 3
4166726 3
4183393 3
4200060 3
4216727 3
4233394 3
4250061 3
4266728 3
4283395 3
4300062 3
4316729 3
4333396 3
4350063 3
4366730 3
4383397 3
4400064 3
4416731 3
4433398 3
4450065 3
4466732 3
4483399 3
4500066 3
4516733 3
4533400 3
4550067 3
4566734 3
4583401 3
4600068 3
4616735 3
4633402 3
4650069 3
4666736 3
4683403 3
4700070 3
4716737 3
4733404 3
4750071 3
4766738 3
4783405 3
4800072 3
4816739 3
4833406 3
4850073 3
4866740 3
4883407 3
4900074 3
4916741 3
4933408 3
4950075 3
4966742 3
4983409 3
5000076 3
5016743 3
5033410 3
5050077 3
5066744 3
5083411 3
5100078 3
5116745 3
5133412 3
5150079 3
5166746 3
5183413 3
5200080 3
5216747 3
5233414 3
5250081 3
5266748 3
5283415 3
5300082 3
5316749 3
5333416 3
5350083 3
5366750 3
5383417 3
5400084 3
5416751 3
5433418 3
5450085 3
5466752 3
5483419 3
5500086 3
5516753 3
5533420 3
5550087 3
5566754 3
5583421 3
5600088 3
5616755 3
5633422 3
5650089 3
5666756 3
5683423 3
5700090 3
5716757 3
5733424 3
5750091 3
5766758 3
5783425 3
5800092 3
5816759 3
5833426 3
5850093 3
5866760 3
5883427 3
5900094 3
5916761 3
5933428 3
5950095 3
5966762 3
5983429 3
6000096 3
6016763 3
6033430 3
6050097 3
6066764 3
6083431 3
6100098 3
6116765 3
6133432 3
6150099 3
6166766 3
6183433 3
6200100 3
6216767 3
6233434 3
6250101 3
6266768 3
6283435 3
6300102 3
6316769 3
6333436 3
6350103 3
6366770 3
6383437 3
6400104 3
6416771 3
6433438 3
6450105 3
6466772 3
6483439 3
6500106 3
6516773 3
6533440 3
6550107 3
6566774 3
6583441 3
6600108 3
6616775 3
6633442 3
6650109 3
6666776 3
6683443 3
6700110 3
6716777 3
6733444 3
6750111 3
6766778 3
6783445 3
6800112 3
6816779 3
6833446 3
6850113 3
6866780 3
6883447 3
6900114 3
6916781 3
6933448 3
6950115 3
6966782 3
6983449 3
7000116 3
7016783 3
7033450 3
7050117 3
7066784 3
7083451 3
7100118 3
7116785 3
7133452 3
7150119 3
7166786 3
7183453 3
