# wall_ms clock_ms total_ms local_h_ms committed_ms peer0_ms peer1_ms step_ms stall pcount tx_pkts rx_pkts since_rx_ms sess game flags grace_ms syncwait countdn p54bc sync_ms sim_burst icon_calls icon_shown srtt0_ms srtt1_ms rttvar0_ms rttvar1_ms ipdv0_ms ipdv1_ms loss0_pm loss1_pm late_p50_ms late_tail95_ms late_tail99_ms late_n late_peer
100 100 100 200 100 100 100 100 0 2 2 2 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 59 21 10 128 1
200 200 200 300 200 200 200 100 0 2 4 4 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 58 20 9 128 1
300 300 300 400 300 300 300 100 0 2 6 6 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 57 19 11 128 1
400 400 400 500 400 400 400 100 0 2 8 8 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 56 18 10 128 1
500 500 500 600 500 500 500 100 0 2 10 10 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 55 22 9 128 1
600 600 600 700 600 600 600 100 0 2 12 12 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 54 21 11 128 1
700 700 700 800 700 700 700 100 0 2 14 14 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 60 20 10 128 1
800 800 800 900 800 800 800 100 0 2 16 16 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 59 19 9 128 1
900 900 900 1000 900 900 900 100 0 2 18 18 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 58 18 11 128 1
1000 1000 1000 1100 1000 1000 1000 100 0 2 20 20 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 57 22 10 128 1
1100 1100 1100 1200 1100 1100 1100 100 0 2 22 22 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 56 21 9 128 1
1200 1200 1200 1300 1200 1200 1200 100 0 2 24 24 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 55 20 11 128 1
1300 1300 1300 1400 1300 1300 1300 100 0 2 26 26 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 54 19 10 128 1
1400 1400 1400 1500 1400 1400 1400 100 0 2 28 28 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 60 18 9 128 1
1500 1500 1500 1600 1500 1500 1500 100 0 2 30 30 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 59 22 11 128 1
1600 1600 1600 1700 1600 1600 1600 100 0 2 32 32 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 58 21 10 128 1
1700 1700 1700 1800 1700 1700 1700 100 0 2 34 34 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 57 20 9 128 1
1800 1800 1800 1900 1800 1800 1800 100 0 2 36 36 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 56 19 11 128 1
1900 1900 1900 2000 1900 1900 1900 100 0 2 38 38 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 55 18 10 128 1
2000 2000 2000 2100 2000 2000 2000 100 0 2 40 40 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 54 22 9 128 1
2100 2100 2100 2200 2100 2100 2100 100 0 2 42 42 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 60 21 11 128 1
2200 2200 2200 2300 2200 2200 2200 100 0 2 44 44 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 59 20 10 128 1
2300 2300 2300 2400 2300 2300 2300 100 0 2 46 46 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 58 19 9 128 1
2400 2400 2400 2500 2400 2400 2400 100 0 2 48 48 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 57 18 11 128 1
2500 2500 2500 2600 2500 2500 2500 100 0 2 50 50 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 56 22 10 128 1
2600 2600 2600 2700 2600 2600 2600 100 0 2 52 52 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 55 21 9 128 1
2700 2700 2700 2800 2700 2700 2700 100 0 2 54 54 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 54 20 11 128 1
